case_id,priority,module,title,precondition,steps,expected_result,automation_type,tags
AC-CAT-001,P0,分类管理,新增分类成功,管理员已登录,"调用新增分类接口, name=外部服务A","HTTP 200 且列表可查询到该分类",API,"category,create"
AC-CAT-002,P0,分类管理,分类名必填,管理员已登录,"提交空字符串或全空格名称","HTTP 400 + CAP_4001",API,"category,validation"
AC-CAT-003,P0,分类管理,分类名长度限制,管理员已登录,"提交11字符分类名; 提交10字符分类名","11字符失败(400+CAP_4001);10字符成功",API,"category,validation"
AC-CAT-004,P0,分类管理,分类名去重规则,已存在分类 Data Ops,"新增分类名为' data   ops '","HTTP 400 + CAP_4002",API,"category,unique"
AC-CAT-005,P0,分类管理,删除空分类,目标分类下无能力,"调用删除分类接口","HTTP 200 且列表中不存在该分类",API,"category,delete"
AC-CAT-006,P0,分类管理,删除非空分类拦截,目标分类下存在能力,"调用删除分类接口","HTTP 400 + CAP_4005",API,"category,delete"
AC-CAT-007,P0,分类管理,内置分类不可改删,存在内置分类,"调用编辑或删除内置分类接口","HTTP 403 或业务拒绝码",API,"category,permission"
AC-CAT-008,P0,分类管理,分类排序规则,存在多条分类数据,"查询分类列表","返回顺序满足 sort asc, created_at desc",API,"category,sort"
AC-CAP-001,P0,能力管理,新增外部应用能力成功,管理员已登录,"新增能力(type=外部应用,配置合法)","HTTP 200 且数据落库",API,"capability,create"
AC-CAP-002,P0,能力管理,新增外部工作流能力成功,管理员已登录,"新增能力(type=外部工作流,配置合法)","HTTP 200 且数据落库",API,"capability,create"
AC-CAP-003,P0,能力管理,禁止新增同步类型,管理员已登录,"新增能力(type=问学应用/问学工作流)","HTTP 400 + CAP_4001",API,"capability,validation"
AC-CAP-004,P0,能力管理,能力名必填与长度限制,管理员已登录,"提交空名称;提交11字符名称","均返回 HTTP 400 + CAP_4001",API,"capability,validation"
AC-CAP-005,P0,能力管理,分类内唯一,分类下已存在同名能力,"新增同名能力","HTTP 400 + CAP_4002",API,"capability,unique"
AC-CAP-006,P0,能力管理,同步能力只读,存在 source=sync 能力,"调用编辑或删除接口","HTTP 400 + CAP_4004",API,"capability,readonly"
AC-CAP-007,P0,能力管理,修改类型清空配置,能力已有 request_config,"修改 capability_type 并保存","request_config 被清空",API,"capability,update"
AC-CAP-008,P0,能力管理,软删除生效,存在自建能力,"调用删除接口","is_deleted=true 且默认列表不可见",API,"capability,delete"
AC-CAP-009,P0,能力管理,模糊搜索大小写不敏感,存在能力 WeatherAPI,"按 weather 搜索","返回包含 WeatherAPI",API,"capability,search"
AC-CAP-010,P0,能力管理,组合筛选正确,存在多类型多分类能力,"按类型+分类筛选","返回结果全部满足筛选条件",API,"capability,filter"
AC-HTTP-001,P0,HTTP配置,方法白名单校验,管理员已登录,"提交 method=TRACE","HTTP 400 + CAP_4001",API,"http,validation"
AC-HTTP-002,P0,HTTP配置,URL协议校验,管理员已登录,"提交 ftp://example.com","HTTP 400 + CAP_4006",API,"http,validation"
AC-HTTP-003,P0,HTTP配置,内网地址拦截,管理员已登录,"提交 localhost/127.0.0.1/10.x URL","HTTP 400 + CAP_4006",API,"http,security"
AC-HTTP-004,P0,HTTP配置,超时范围校验,管理员已登录,"提交 timeout=0 或 61","HTTP 400 + CAP_4001",API,"http,validation"
AC-HTTP-005,P0,HTTP配置,Header黑名单校验,管理员已登录,"提交 Host 或 Content-Length","HTTP 400 + CAP_4001",API,"http,validation"
AC-HTTP-006,P0,HTTP配置,成功判定规则,存在mock外部服务,"分别返回2xx/4xx/5xx","2xx成功;4xx/5xx失败并记录日志",API,"http,runtime"
AC-SYNC-001,P0,同步任务,增量同步入库,存在mock问学新增记录,"触发增量同步","本地新增记录且 source=sync",API,"sync,incremental"
AC-SYNC-002,P0,同步任务,删除映射同步,目标记录在问学侧删除,"触发同步任务","本地 is_deleted=true",API,"sync,delete"
AC-SYNC-003,P0,同步任务,失败重试机制,前两次mock失败第三次成功,"触发同步任务","发生3次尝试，间隔1s/2s/4s",API,"sync,retry"
AC-SYNC-004,P0,同步任务,冲突覆盖规则,本地同步字段被改动,"触发同步","同步字段被问学值覆盖",API,"sync,conflict"
AC-SYNC-005,P0,同步任务,同步审计日志,同步任务可运行,"执行一次同步","日志包含任务ID/成功数/失败数/失败原因",API,"sync,audit"
AC-AUTH-001,P0,权限,只读角色限制,使用只读账号,"调用新增编辑删除接口","HTTP 403",API,"auth,rbac"
AC-AUTH-002,P0,权限,运营删除分类限制,使用运营账号,"调用删除分类接口","HTTP 403",API,"auth,rbac"
AC-CON-001,P0,并发,乐观锁冲突,两会话读取同一能力,"会话A更新成功后会话B提交旧版本","HTTP 409 + CAP_4091",API,"concurrency,lock"
AC-CON-002,P0,并发,删除幂等,存在待删能力,"连续调用删除两次","无副作用，返回符合接口幂等约定",API,"concurrency,idempotent"
AC-LOG-001,P1,日志,操作审计完整,开启审计日志,"执行新增编辑删除","日志有操作者/时间/前后值",API,"log,audit"
AC-LOG-002,P1,日志,敏感字段脱敏,提交含Authorization Header,"查看响应与日志","不出现明文token或密钥",API,"log,security"
AC-OBS-001,P1,可观测性,调用链追踪,开启trace,"执行外部调用","日志包含trace_id/耗时/状态码",API,"observability,trace"
